model_id,dataset,record_id,transition,left_condition,right_condition,field_count,psi,left_json_valid,right_json_valid,left_schema_valid,right_schema_valid,both_schema_valid,schema_break,delta_entity_exact_f1,abs_delta_entity_exact_f1,delta_entity_partial_f1,abs_delta_entity_partial_f1,delta_relation_exact_f1,abs_delta_relation_exact_f1
gemma_3_12b_it,EBM-NLP,11891832,P5->P6,P5,P6,3,0.010377724965413412,1,1,1,1,1,0,-0.014814814814814836,0.014814814814814836,-0.20740740740740748,0.20740740740740748,0.0,0.0
gemma_3_12b_it,EBM-NLP,12139812,P1->P2,P1,P2,3,0.0034235318501790366,1,1,1,1,1,0,-0.04682274247491641,0.04682274247491641,-0.09364548494983282,0.09364548494983282,0.0,0.0
gemma_3_12b_it,EBM-NLP,12139812,P2->P3,P2,P3,3,0.0,1,1,1,1,1,0,-0.020869565217391306,0.020869565217391306,-0.04173913043478261,0.04173913043478261,0.0,0.0
gemma_3_12b_it,EBM-NLP,12139812,P3->P4,P3,P4,3,0.024069130420684814,1,1,1,1,1,0,-0.1020689655172414,0.1020689655172414,0.0027586206896552112,0.0027586206896552112,0.0,0.0
gemma_3_12b_it,EBM-NLP,12139812,P4->P5,P4,P5,3,0.04630547761917114,1,1,1,1,1,0,0.02873563218390801,0.02873563218390801,-0.06609195402298862,0.06609195402298862,0.0,0.0
gemma_3_12b_it,EBM-NLP,12139812,P5->P6,P5,P6,3,0.022980292638142902,1,1,1,1,1,0,0.02380952380952389,0.02380952380952389,-0.03571428571428559,0.03571428571428559,0.0,0.0
gemma_3_12b_it,EBM-NLP,12477021,P1->P2,P1,P2,3,0.0006508429845174154,1,1,1,1,1,0,0.06769230769230761,0.06769230769230761,0.055384615384615254,0.055384615384615254,0.0,0.0
gemma_3_12b_it,EBM-NLP,12477021,P2->P3,P2,P3,3,0.020848711331685383,1,1,1,1,1,0,-0.06769230769230761,0.06769230769230761,0.024615384615384706,0.024615384615384706,0.0,0.0
gemma_3_12b_it,EBM-NLP,12477021,P3->P4,P3,P4,3,0.03673746188481649,1,1,1,1,1,0,0.0,0.0,-0.16000000000000003,0.16000000000000003,0.0,0.0
gemma_3_12b_it,EBM-NLP,12477021,P4->P5,P4,P5,3,0.025252163410186768,1,1,1,1,1,0,0.04571428571428571,0.04571428571428571,-0.0038095238095238737,0.0038095238095238737,0.0,0.0
