model_id,dataset,transition,field,variant,paired_documents,dropout_events,idr,idr_ci_low,idr_ci_high
mistral_7b_instruct_v03,SciER,P4->P5,Dataset,valid_only,7,0,0.0,0.0,0.0
mistral_7b_instruct_v03,SciER,P4->P5,Dataset,inclusive,16,5,0.3125,0.125,0.5625
mistral_7b_instruct_v03,SciER,P4->P5,Method,valid_only,7,0,0.0,0.0,0.0
mistral_7b_instruct_v03,SciER,P4->P5,Method,inclusive,16,6,0.375,0.125,0.625
mistral_7b_instruct_v03,SciER,P4->P5,Task,valid_only,7,0,0.0,0.0,0.0
mistral_7b_instruct_v03,SciER,P4->P5,Task,inclusive,16,6,0.375,0.125,0.625
mistral_7b_instruct_v03,SciER,P4->P5,__ANY_FIELD__,valid_only,7,0,0.0,0.0,0.0
mistral_7b_instruct_v03,SciER,P4->P5,__ANY_FIELD__,inclusive,16,6,0.375,0.125,0.625
mistral_7b_instruct_v03,SciER,P5->P6,Dataset,valid_only,6,1,0.16666666666666666,0.0,0.5
mistral_7b_instruct_v03,SciER,P5->P6,Dataset,inclusive,16,2,0.125,0.0,0.3125
mistral_7b_instruct_v03,SciER,P5->P6,Method,valid_only,6,0,0.0,0.0,0.0
mistral_7b_instruct_v03,SciER,P5->P6,Method,inclusive,16,1,0.0625,0.0,0.1875
mistral_7b_instruct_v03,SciER,P5->P6,Task,valid_only,6,0,0.0,0.0,0.0
mistral_7b_instruct_v03,SciER,P5->P6,Task,inclusive,16,1,0.0625,0.0,0.1875
mistral_7b_instruct_v03,SciER,P5->P6,__ANY_FIELD__,valid_only,6,1,0.16666666666666666,0.0,0.5
mistral_7b_instruct_v03,SciER,P5->P6,__ANY_FIELD__,inclusive,16,2,0.125,0.0,0.3125
mistral_7b_instruct_v03,SciERC,P1->P2,Generic,valid_only,46,5,0.10869565217391304,0.021739130434782608,0.1956521739130435
mistral_7b_instruct_v03,SciERC,P1->P2,Generic,inclusive,100,15,0.15,0.08,0.22
mistral_7b_instruct_v03,SciERC,P1->P2,Material,valid_only,46,6,0.13043478260869565,0.043478260869565216,0.2391304347826087
